variavel,descricao,tipo,subtipo
price,"Preço do diamante em dólares americanos, variando de $326 a $18,823.",quantitativa,contínua
carat,"Peso do diamante em quilates, variando de 0.2 a 5.01.",quantitativa,contínua
cut,"Qualidade do corte do diamante (Fair, Good, Very Good, Premium, Ideal)",qualitativa,ordinal
color,"Cor do diamante, variando de D (melhor) e J (pior)",qualitativa,ordinal
clarity,"Medição da clareza do diamante (I1, SI2, SI1, VS2, VS1, VVS2, VVS1, IF), onde I1 é o pior e IF é o melhor.",qualitativa,ordinal
x,"Comprimento do diamante em milímetros, variando de 0 a 10.74.",quantitativa,contínua
y,"Largura do diamante em milímetros, variando de 0 a 58.9.",quantitativa,contínua
z,"Profundidade do diamante em milímetros, variando de 0 a 31.8.",quantitativa,contínua
depth,"Porcentagem da profundidade total, calculada como z / média(x, y), variando de 43 a 79.",quantitativa,contínua
table,"Largura da mesa do diamante em relação ao ponto mais largo, variando de 43 a 95.",quantitativa,contínua
